Time,RMV7R,RMV7R,RMV7R,RMV7R,RMV7R_prci_mutant,RMV7R_prci_mutant,RMV7R_prci_mutant,RMV7R_prci_mutant
00:00:00,0.058,0.006,0.02,-0.035,-0.03,-0.038,-0.164,-0.182
00:30:00,0.003,,0.006,0.003,0.011,0.008,0.026,0.005
01:00:00,0.003,0.002,0.003,0.002,0.006,0.006,0.015,0.004
01:30:00,0.003,,0.005,0.002,0.011,0.007,0.011,0.003
02:00:00,0.004,0.002,0.004,0.003,0.01,0.007,0.009,0.003
02:30:00,0.006,0.004,0.006,0.004,0.011,0.009,0.009,0.005
03:00:00,0.007,0.006,0.007,0.006,0.013,0.01,0.012,0.006
03:30:00,0.011,0.009,0.012,0.009,0.016,0.015,0.016,0.01
04:00:00,0.021,0.015,0.02,0.017,0.026,0.029,0.026,0.021
04:30:00,0.033,0.029,0.035,0.032,0.051,0.049,0.043,0.042
05:00:00,0.058,0.05,0.054,0.052,0.078,0.095,0.072,0.075
05:30:00,0.102,0.089,0.096,0.095,0.15,0.154,0.122,0.128
06:00:00,0.157,0.146,0.149,0.146,0.23,0.221,0.183,0.182
06:30:00,0.222,0.222,0.221,0.223,0.34,0.325,0.257,0.241
07:00:00,0.344,0.356,0.328,0.328,0.49,0.466,0.391,0.342
07:30:00,0.509,0.5,0.474,0.475,0.557,0.56,0.505,0.448
08:00:00,0.581,0.578,0.56,0.559,0.617,0.631,0.608,0.614
08:30:00,0.649,0.632,0.657,0.634,0.638,0.673,0.681,0.676
09:00:00,0.694,0.666,0.689,0.673,0.652,0.677,0.688,0.687
09:30:00,0.701,0.672,0.694,0.68,0.653,0.686,0.703,0.697
10:00:00,0.674,0.681,0.683,0.668,0.666,0.672,0.691,0.672
10:30:00,0.681,0.676,0.663,0.656,0.642,0.667,0.682,0.667
11:00:00,0.658,0.652,0.655,0.648,0.637,0.654,0.679,0.66
11:30:00,0.659,0.652,0.643,0.642,0.632,0.644,0.677,0.654
12:00:00,0.65,0.646,0.623,0.643,0.621,0.638,0.662,0.648
12:30:00,0.654,0.643,0.638,0.625,0.629,0.635,0.655,0.642
13:00:00,0.645,0.646,0.632,0.63,0.598,0.626,0.656,0.637
13:30:00,0.643,0.628,0.626,0.62,0.614,0.62,0.637,0.627
14:00:00,0.638,0.62,0.628,0.618,0.605,0.615,0.633,0.623
14:30:00,0.626,0.617,0.621,0.606,0.598,0.596,0.62,0.611
15:00:00,0.614,0.609,0.617,0.607,0.588,0.592,0.612,0.613
15:30:00,0.618,0.594,0.604,0.593,0.569,0.586,0.598,0.601
16:00:00,0.583,0.596,0.593,0.581,0.552,0.572,0.594,0.595
16:30:00,0.593,0.575,0.572,0.576,0.551,0.564,0.585,0.585
17:00:00,0.587,0.564,0.569,0.561,0.542,0.545,0.58,0.571
17:30:00,0.567,0.555,0.56,0.545,0.529,0.541,0.565,0.56
18:00:00,0.555,0.533,0.554,0.541,0.513,0.528,0.536,0.545
18:30:00,0.538,0.514,0.528,0.524,0.502,0.504,0.526,0.537
19:00:00,0.524,0.503,0.514,0.5,0.476,0.478,0.498,0.519
19:30:00,0.499,0.473,0.489,0.466,0.458,0.451,0.481,0.492
20:00:00,0.474,0.446,0.467,0.448,0.428,0.429,0.457,0.475
20:30:00,0.437,0.411,0.435,0.417,0.397,0.4,0.423,0.444
