Time,Media,Media,Media,MMC,MMC,MMC,CSP1,CSP1,CSP1,H2O2,H2O2,H2O2
00:00:00,0.106,0.115,0.113,0.115,0.115,0.117,0.116,0.116,0.117,0.117,0.117,0.12
00:30:00,0.116,0.116,0.114,0.115,0.117,0.117,0.116,0.115,0.114,0.118,0.114,0.124
01:00:00,0.12,0.121,0.122,0.119,0.121,0.122,0.117,0.116,0.117,0.121,0.117,0.128
01:30:00,0.146,0.138,0.135,0.134,0.135,0.136,0.129,0.129,0.129,0.136,0.134,0.144
02:00:00,0.181,0.178,0.175,0.165,0.163,0.165,0.157,0.149,0.151,0.174,0.171,0.183
02:30:00,0.273,0.259,0.262,0.214,0.213,0.214,0.216,0.209,0.213,0.253,0.242,0.264
03:00:00,0.404,0.384,0.393,0.284,0.286,0.287,0.324,0.317,0.31,0.382,0.37,0.388
03:30:00,0.527,0.525,0.514,0.357,0.373,0.367,0.45,0.449,0.452,0.506,0.496,0.51
04:00:00,0.556,0.562,0.56,0.431,0.454,0.446,0.52,0.524,0.525,0.536,0.527,0.538
04:30:00,0.577,0.588,0.596,0.467,0.473,0.472,0.538,0.542,0.537,0.559,0.546,0.555
05:00:00,0.598,0.628,0.633,0.498,0.488,0.492,0.561,0.557,0.544,0.604,0.574,0.567
05:30:00,0.634,0.66,0.659,0.5,0.495,0.507,0.589,0.59,0.583,0.626,0.635,0.575
06:00:00,0.662,0.68,0.678,0.512,0.499,0.522,0.618,0.614,0.607,0.654,0.648,0.597
06:30:00,0.686,0.69,0.69,0.521,0.515,0.532,0.633,0.621,0.616,0.659,0.657,0.627
07:00:00,0.695,0.699,0.694,0.524,0.521,0.53,0.64,0.632,0.626,0.663,0.677,0.63
07:30:00,0.706,0.683,0.69,0.522,0.516,0.535,0.642,0.636,0.631,0.66,0.693,0.638
08:00:00,0.699,0.682,0.692,0.526,0.521,0.539,0.642,0.633,0.628,0.657,0.695,0.661
08:30:00,0.705,0.677,0.684,0.523,0.509,0.535,0.64,0.632,0.628,0.659,0.697,0.665
09:00:00,0.704,0.663,0.681,0.524,0.516,0.541,0.645,0.634,0.626,0.657,0.695,0.677
09:30:00,0.713,0.657,0.679,0.519,0.51,0.533,0.638,0.631,0.626,0.657,0.689,0.676
10:00:00,0.718,0.663,0.678,0.511,0.5,0.521,0.63,0.621,0.622,0.653,0.695,0.692
10:30:00,0.712,0.654,0.677,0.505,0.497,0.516,0.626,0.613,0.609,0.649,0.685,0.681
11:00:00,0.707,0.654,0.669,0.492,0.484,0.505,0.626,0.614,0.607,0.65,0.69,0.688
11:30:00,0.703,0.663,0.671,0.485,0.479,0.497,0.617,0.61,0.601,0.643,0.682,0.697
12:00:00,0.696,0.66,0.663,0.474,0.466,0.49,0.616,0.604,0.603,0.643,0.682,0.684
12:30:00,0.7,0.655,0.658,0.468,0.46,0.483,0.608,0.602,0.591,0.638,0.684,0.692
13:00:00,0.688,0.654,0.653,0.462,0.45,0.478,0.602,0.595,0.593,0.637,0.687,0.687
13:30:00,0.683,0.646,0.647,0.453,0.445,0.468,0.592,0.586,0.588,0.63,0.679,0.68
14:00:00,0.694,0.642,0.635,0.446,0.437,0.46,0.584,0.582,0.579,0.628,0.675,0.683
14:30:00,0.674,0.631,0.628,0.441,0.431,0.452,0.571,0.571,0.569,0.617,0.657,0.674
15:00:00,0.687,0.626,0.613,0.435,0.423,0.446,0.563,0.56,0.562,0.615,0.661,0.673
15:30:00,0.693,0.616,0.604,0.428,0.42,0.44,0.553,0.553,0.553,0.607,0.655,0.67
16:00:00,0.678,0.606,0.594,0.421,0.414,0.434,0.54,0.541,0.543,0.597,0.648,0.68
16:30:00,0.685,0.594,0.579,0.413,0.405,0.423,0.526,0.533,0.535,0.59,0.634,0.662
17:00:00,0.669,0.581,0.568,0.408,0.403,0.417,0.516,0.525,0.522,0.585,0.628,0.669
17:30:00,0.668,0.57,0.557,0.397,0.392,0.408,0.504,0.512,0.514,0.579,0.621,0.666
18:00:00,0.654,0.555,0.539,0.388,0.383,0.4,0.487,0.5,0.499,0.572,0.612,0.661
18:30:00,0.632,0.54,0.524,0.379,0.374,0.392,0.474,0.489,0.488,0.566,0.604,0.671
19:00:00,0.628,0.522,0.51,0.371,0.364,0.384,0.462,0.479,0.473,0.557,0.584,0.663
19:30:00,0.601,0.509,0.495,0.363,0.358,0.377,0.447,0.467,0.461,0.548,0.576,0.664
20:00:00,0.584,0.491,0.483,0.358,0.353,0.369,0.427,0.447,0.442,0.532,0.558,0.658
20:30:00,0.555,0.471,0.461,0.348,0.344,0.363,0.406,0.434,0.43,0.524,0.544,0.658
