Time,Media,Media,MMC0,MMC0,MMC0,MMCX1,MMCX1,MMCX1,MMCX2,MMCX2,MMCX2
00:00:00,0.126,0.124,0.123,0.128,0.126,0.135,0.131,0.127,0.125,0.126,0.124
00:30:00,0.151,0.146,0.149,0.151,0.148,0.16,0.153,0.153,0.148,0.148,0.145
01:00:00,0.206,0.205,0.204,0.201,0.205,0.22,0.208,0.204,0.207,0.203,0.203
01:30:00,0.297,0.294,0.302,0.305,0.302,0.314,0.31,0.306,0.298,0.294,0.289
02:00:00,0.418,0.403,0.405,0.416,0.424,0.433,0.429,0.429,0.427,0.422,0.406
02:30:00,0.488,0.479,0.482,0.487,0.489,0.519,0.498,0.503,0.491,0.469,0.479
03:00:00,0.483,0.485,0.476,0.49,0.48,0.519,0.527,0.523,0.531,0.526,0.534
03:30:00,0.463,0.475,0.48,0.488,0.478,0.516,0.5,0.506,0.511,0.5,0.495
04:00:00,0.483,0.472,0.464,0.483,0.479,0.513,0.514,0.513,0.514,0.512,0.515
04:30:00,0.491,0.465,0.457,0.473,0.464,0.492,0.496,0.492,0.499,0.49,0.488
05:00:00,0.495,0.479,0.472,0.491,0.472,0.509,0.496,0.492,0.508,0.491,0.516
05:30:00,0.5,0.477,0.489,0.479,0.482,0.501,0.486,0.502,0.504,0.471,0.486
06:00:00,0.52,0.483,0.483,0.496,0.479,0.505,0.494,0.519,0.505,0.485,0.504
06:30:00,0.523,0.5,0.49,0.496,0.493,0.512,0.494,0.497,0.502,0.477,0.5
07:00:00,0.524,0.498,0.488,0.487,0.496,0.508,0.491,0.503,0.479,0.458,0.495
07:30:00,0.526,0.502,0.493,0.494,0.49,0.524,0.493,0.515,0.492,0.472,0.501
08:00:00,0.524,0.501,0.49,0.496,0.496,0.517,0.475,0.508,0.486,0.464,0.485
08:30:00,0.522,0.497,0.499,0.498,0.482,0.517,0.496,0.5,0.489,0.47,0.485
09:00:00,0.531,0.494,0.493,0.492,0.498,0.515,0.49,0.495,0.488,0.47,0.489
09:30:00,0.528,0.497,0.494,0.497,0.49,0.512,0.492,0.5,0.48,0.459,0.476
10:00:00,0.527,0.504,0.505,0.501,0.49,0.496,0.484,0.495,0.47,0.458,0.477
10:30:00,0.519,0.502,0.496,0.496,0.489,0.512,0.48,0.492,0.472,0.447,0.462
11:00:00,0.522,0.501,0.496,0.498,0.486,0.51,0.472,0.497,0.469,0.442,0.461
11:30:00,0.527,0.501,0.492,0.495,0.488,0.507,0.476,0.487,0.463,0.429,0.44
12:00:00,0.532,0.51,0.5,0.493,0.489,0.507,0.469,0.485,0.456,0.427,0.441
12:30:00,0.523,0.514,0.498,0.492,0.494,0.505,0.467,0.478,0.447,0.416,0.44
13:00:00,0.525,0.506,0.487,0.485,0.481,0.5,0.458,0.471,0.44,0.415,0.428
13:30:00,0.526,0.506,0.493,0.487,0.484,0.494,0.447,0.466,0.425,0.404,0.412
14:00:00,0.523,0.505,0.489,0.485,0.473,0.487,0.441,0.465,0.417,0.397,0.411
14:30:00,0.517,0.502,0.477,0.48,0.463,0.473,0.427,0.449,0.402,0.39,0.399
15:00:00,0.517,0.503,0.472,0.476,0.459,0.46,0.423,0.436,0.396,0.379,0.389
15:30:00,0.516,0.493,0.461,0.463,0.437,0.448,0.409,0.421,0.378,0.363,0.371
16:00:00,0.513,0.489,0.443,0.458,0.425,0.428,0.386,0.403,0.369,0.352,0.361
16:30:00,0.495,0.477,0.427,0.428,0.404,0.411,0.371,0.387,0.358,0.341,0.348
17:00:00,0.493,0.472,0.406,0.419,0.381,0.396,0.356,0.373,0.344,0.329,0.334
17:30:00,0.469,0.448,0.382,0.393,0.357,0.371,0.339,0.351,0.333,0.319,0.319
18:00:00,0.464,0.428,0.348,0.37,0.337,0.354,0.323,0.337,0.318,0.306,0.313
18:30:00,0.431,0.402,0.334,0.345,0.313,0.332,0.309,0.318,0.302,0.293,0.296
19:00:00,0.4,0.374,0.31,0.32,0.299,0.313,0.293,0.303,0.291,0.281,0.281
19:30:00,0.364,0.344,0.28,0.296,0.273,0.295,0.279,0.287,0.28,0.27,0.273
20:00:00,0.338,0.313,0.269,0.271,0.259,0.279,0.265,0.274,0.269,0.262,0.264
20:30:00,0.306,0.281,0.253,0.26,0.251,0.268,0.254,0.261,0.259,0.252,0.254
