Time,Media,Media,Media,CSP,CSP,CSP,CSPX2,CSPX2,CSPX2,CSPX4,CSPX4,CSPX4
00:00:00,0.138,0.135,0.137,0.134,0.135,0.14,0.135,0.137,0.132,0.13,0.142,0.134
00:30:00,0.174,0.161,0.166,0.16,0.165,0.162,0.161,0.162,0.16,0.16,0.171,0.159
01:00:00,0.233,0.214,0.216,0.207,0.211,0.209,0.209,0.21,0.206,0.203,0.218,0.205
01:30:00,0.314,0.299,0.3,0.271,0.286,0.282,0.272,0.278,0.271,0.267,0.28,0.271
02:00:00,0.401,0.383,0.389,0.36,0.367,0.367,0.353,0.355,0.346,0.342,0.355,0.347
02:30:00,0.436,0.42,0.421,0.414,0.43,0.431,0.414,0.418,0.41,0.404,0.423,0.414
03:00:00,0.451,0.419,0.426,0.431,0.431,0.428,0.421,0.425,0.417,0.412,0.431,0.423
03:30:00,0.443,0.42,0.424,0.43,0.429,0.429,0.421,0.421,0.41,0.41,0.427,0.424
04:00:00,0.434,0.415,0.416,0.437,0.423,0.425,0.412,0.414,0.406,0.403,0.429,0.42
04:30:00,0.432,0.409,0.41,0.446,0.426,0.42,0.408,0.41,0.403,0.401,0.424,0.415
05:00:00,0.474,0.402,0.408,0.48,0.426,0.416,0.405,0.403,0.398,0.395,0.414,0.419
05:30:00,0.475,0.4,0.404,0.498,0.428,0.417,0.403,0.4,0.399,0.394,0.406,0.413
06:00:00,0.492,0.395,0.399,0.504,0.438,0.422,0.399,0.399,0.398,0.389,0.406,0.417
06:30:00,0.492,0.393,0.395,0.502,0.443,0.432,0.409,0.403,0.398,0.386,0.405,0.425
07:00:00,0.492,0.399,0.397,0.513,0.448,0.438,0.409,0.401,0.402,0.381,0.403,0.421
07:30:00,0.475,0.401,0.394,0.516,0.456,0.439,0.412,0.402,0.402,0.38,0.404,0.426
08:00:00,0.513,0.406,0.396,0.519,0.466,0.439,0.417,0.406,0.406,0.383,0.406,0.43
08:30:00,0.482,0.411,0.399,0.527,0.467,0.445,0.412,0.403,0.4,0.375,0.399,0.432
09:00:00,0.511,0.416,0.404,0.528,0.476,0.454,0.43,0.403,0.403,0.376,0.407,0.451
09:30:00,0.517,0.42,0.409,0.523,0.495,0.453,0.44,0.409,0.412,0.384,0.411,0.46
10:00:00,0.523,0.423,0.412,0.531,0.488,0.456,0.439,0.404,0.414,0.381,0.413,0.462
10:30:00,0.517,0.431,0.414,0.53,0.488,0.463,0.436,0.418,0.41,0.378,0.415,0.461
11:00:00,0.508,0.437,0.422,0.532,0.492,0.47,0.436,0.407,0.41,0.381,0.409,0.459
11:30:00,0.517,0.444,0.432,0.532,0.492,0.472,0.448,0.425,0.415,0.378,0.409,0.457
12:00:00,0.532,0.45,0.442,0.535,0.496,0.477,0.44,0.416,0.417,0.385,0.413,0.487
12:30:00,0.52,0.456,0.449,0.528,0.508,0.492,0.454,0.405,0.425,0.37,0.42,0.498
13:00:00,0.504,0.466,0.46,0.532,0.496,0.472,0.456,0.422,0.409,0.379,0.411,0.473
13:30:00,0.501,0.47,0.464,0.533,0.499,0.48,0.464,0.421,0.415,0.366,0.407,0.451
14:00:00,0.511,0.476,0.471,0.527,0.495,0.475,0.469,0.408,0.416,0.364,0.404,0.451
14:30:00,0.52,0.485,0.477,0.525,0.492,0.474,0.466,0.399,0.433,0.369,0.403,0.461
15:00:00,0.521,0.49,0.479,0.512,0.493,0.499,0.479,0.411,0.427,0.39,0.415,0.451
15:30:00,0.513,0.491,0.485,0.5,0.502,0.505,0.499,0.424,0.441,0.405,0.418,0.459
16:00:00,0.508,0.496,0.489,0.482,0.485,0.495,0.485,0.442,0.442,0.397,0.407,0.467
16:30:00,0.517,0.504,0.492,0.472,0.479,0.495,0.488,0.46,0.471,0.403,0.415,0.454
17:00:00,0.516,0.521,0.499,0.446,0.459,0.477,0.473,0.47,0.463,0.42,0.445,0.455
17:30:00,0.503,0.524,0.505,0.427,0.442,0.45,0.432,0.433,0.462,0.426,0.436,0.446
18:00:00,0.478,0.535,0.516,0.413,0.416,0.422,0.411,0.418,0.439,0.413,0.433,0.431
18:30:00,0.455,0.511,0.502,0.391,0.39,0.39,0.393,0.385,0.413,0.374,0.402,0.409
19:00:00,0.438,0.472,0.468,0.376,0.373,0.378,0.377,0.384,0.394,0.368,0.387,0.389
19:30:00,0.399,0.43,0.439,0.358,0.354,0.354,0.361,0.362,0.372,0.36,0.37,0.37
20:00:00,0.374,0.395,0.411,0.345,0.339,0.345,0.344,0.349,0.36,0.347,0.356,0.357
20:30:00,0.346,0.372,0.377,0.329,0.321,0.327,0.332,0.328,0.343,0.328,0.34,0.35
