Time,tvr_PRCI_mutant_1,tvr_PRCI_mutant_1,tvr_PRCI_mutant_1,tvr_PRCI_mutant_1,tvr_PRCI_mutant_2,tvr_PRCI_mutant_2,tvr_PRCI_mutant_2,tvr_PRCI_mutant_2,prophage_PRCI_mutant_1,prophage_PRCI_mutant_1,prophage_PRCI_mutant_1,prophage_PRCI_mutant_1,prophage_PRCI_mutant_2,prophage_PRCI_mutant_2,prophage_PRCI_mutant_2,prophage_PRCI_mutant_2
00:00:00,-6.00E-04,-0.003,-4.00E-04,-0.003,-0.002,-4.00E-04,-0.002,-5.00E-04,0.003,-0.004,-0.002,-0.003,-0.002,0.002,0.003,-1.00E-04
00:30:00,-0.001,-0.004,-0.002,-0.005,-0.003,-0.002,-0.004,-0.003,8.00E-04,-0.005,-0.004,-0.003,-0.003,-0.002,0.002,-0.002
01:00:00,-0.003,-0.004,-0.002,-0.005,-0.004,-0.003,-0.004,-0.003,7.67E-04,-0.005,-0.005,-0.004,-0.002,-0.001,0.001,-0.002
01:30:00,-0.002,-0.004,-0.002,-0.004,-0.003,-0.003,-0.003,-0.003,0.002,-0.004,-0.004,-0.003,-0.002,-2.67E-04,0.002,-0.002
02:00:00,-0.002,-0.003,-0.001,-0.004,-0.003,-0.002,-0.003,-0.003,0.002,-0.003,-0.003,-0.002,-6.00E-04,4.00E-04,0.003,-5.00E-04
02:30:00,-0.002,-0.003,-0.002,-0.004,-0.003,-0.002,-0.003,-0.003,0.003,-0.003,-0.002,-0.002,5.67E-04,0.002,0.004,5.67E-04
03:00:00,-9.67E-04,-0.001,3.33E-05,-0.003,-0.002,-3.67E-04,-0.001,-0.001,0.004,-0.002,-0.001,-4.67E-04,0.003,0.005,0.006,0.003
03:30:00,-3.00E-04,-0.002,6.00E-04,-0.003,6.00E-04,7.00E-04,-2.00E-04,0,0.005,1.00E-04,6.00E-04,0.001,0.006,0.009,0.009,0.007
04:00:00,9.33E-04,3.33E-04,0.003,-0.002,0.004,0.004,0.003,0.003,0.01,0.004,0.005,0.004,0.012,0.015,0.02,0.015
04:30:00,0.005,0.004,0.006,0.002,0.009,0.011,0.009,0.009,0.018,0.011,0.012,0.013,0.024,0.031,0.035,0.027
