Time,Media,Media,Media,CSP,CSP,CSP,CSPX2,CSPX2,CSPX2,CSPX4,CSPX4,CSPX4
00:00:00,0.132,0.141,0.139,0.147,0.145,0.15,0.14,0.142,0.142,0.145,0.144,0.143
00:30:00,0.17,0.173,0.172,0.174,0.177,0.182,0.169,0.169,0.175,0.174,0.178,0.174
01:00:00,0.227,0.241,0.235,0.236,0.232,0.24,0.222,0.229,0.227,0.229,0.235,0.227
01:30:00,0.311,0.332,0.312,0.326,0.316,0.316,0.299,0.298,0.299,0.299,0.305,0.296
02:00:00,0.406,0.429,0.418,0.414,0.4,0.409,0.386,0.386,0.39,0.389,0.394,0.384
02:30:00,0.424,0.446,0.427,0.451,0.434,0.442,0.42,0.433,0.429,0.429,0.439,0.426
03:00:00,0.436,0.449,0.438,0.46,0.449,0.454,0.435,0.441,0.443,0.441,0.449,0.437
03:30:00,0.434,0.441,0.437,0.449,0.457,0.46,0.44,0.448,0.449,0.447,0.452,0.442
04:00:00,0.441,0.437,0.419,0.45,0.467,0.473,0.45,0.454,0.459,0.461,0.46,0.452
04:30:00,0.468,0.433,0.418,0.453,0.464,0.489,0.465,0.469,0.467,0.473,0.479,0.466
05:00:00,0.468,0.438,0.415,0.467,0.492,0.496,0.466,0.471,0.476,0.474,0.491,0.48
05:30:00,0.481,0.47,0.422,0.474,0.502,0.486,0.461,0.469,0.467,0.466,0.479,0.468
06:00:00,0.478,0.479,0.423,0.481,0.498,0.485,0.458,0.462,0.459,0.463,0.474,0.461
06:30:00,0.491,0.486,0.432,0.49,0.506,0.477,0.461,0.464,0.465,0.466,0.478,0.462
07:00:00,0.487,0.495,0.441,0.502,0.501,0.478,0.458,0.463,0.464,0.464,0.473,0.457
07:30:00,0.476,0.495,0.442,0.495,0.499,0.472,0.456,0.461,0.457,0.462,0.468,0.451
08:00:00,0.491,0.501,0.434,0.497,0.511,0.475,0.457,0.458,0.458,0.46,0.466,0.449
08:30:00,0.489,0.49,0.451,0.494,0.506,0.468,0.447,0.449,0.451,0.451,0.459,0.445
09:00:00,0.478,0.487,0.445,0.493,0.504,0.466,0.44,0.442,0.442,0.444,0.455,0.437
09:30:00,0.483,0.499,0.459,0.489,0.51,0.461,0.442,0.447,0.443,0.444,0.455,0.435
10:00:00,0.476,0.478,0.453,0.477,0.501,0.459,0.434,0.435,0.433,0.435,0.446,0.433
10:30:00,0.469,0.495,0.434,0.487,0.501,0.451,0.432,0.435,0.433,0.435,0.447,0.433
11:00:00,0.468,0.474,0.45,0.476,0.496,0.448,0.426,0.429,0.426,0.431,0.436,0.43
11:30:00,0.457,0.477,0.45,0.477,0.494,0.443,0.419,0.424,0.419,0.424,0.434,0.422
12:00:00,0.444,0.478,0.445,0.48,0.488,0.432,0.415,0.417,0.412,0.418,0.427,0.418
12:30:00,0.432,0.456,0.442,0.481,0.467,0.425,0.409,0.408,0.407,0.412,0.42,0.409
13:00:00,0.415,0.44,0.429,0.462,0.463,0.416,0.4,0.403,0.401,0.404,0.412,0.402
13:30:00,0.402,0.402,0.417,0.457,0.45,0.41,0.391,0.393,0.39,0.395,0.402,0.391
14:00:00,0.387,0.409,0.399,0.446,0.438,0.398,0.382,0.384,0.385,0.389,0.392,0.385
14:30:00,0.367,0.382,0.378,0.433,0.424,0.39,0.378,0.377,0.374,0.378,0.387,0.376
15:00:00,0.353,0.361,0.354,0.408,0.41,0.382,0.367,0.367,0.366,0.37,0.375,0.363
15:30:00,0.336,0.343,0.339,0.395,0.389,0.369,0.357,0.358,0.356,0.36,0.369,0.354
16:00:00,0.318,0.319,0.317,0.376,0.375,0.358,0.348,0.349,0.343,0.35,0.359,0.342
16:30:00,0.305,0.302,0.3,0.357,0.356,0.348,0.337,0.338,0.333,0.339,0.346,0.331
17:00:00,0.29,0.287,0.281,0.336,0.336,0.336,0.325,0.325,0.324,0.33,0.335,0.32
17:30:00,0.28,0.274,0.268,0.318,0.322,0.326,0.312,0.315,0.314,0.319,0.324,0.31
18:00:00,0.268,0.258,0.259,0.302,0.308,0.313,0.302,0.304,0.3,0.307,0.312,0.298
18:30:00,0.26,0.248,0.246,0.289,0.294,0.299,0.286,0.288,0.287,0.291,0.297,0.285
19:00:00,0.25,0.248,0.239,0.284,0.282,0.289,0.276,0.278,0.277,0.284,0.289,0.275
19:30:00,0.256,0.244,0.233,0.275,0.273,0.278,0.269,0.268,0.268,0.273,0.28,0.268
20:00:00,0.249,0.236,0.228,0.271,0.263,0.267,0.259,0.259,0.258,0.266,0.27,0.257
20:30:00,0.244,0.235,0.228,0.265,0.257,0.257,0.247,0.251,0.25,0.255,0.26,0.249
