Time,Media,Media,Media,MMC0,MMC0,MMC0,MMCX1,MMCX1,MMCX1,MMCX2,MMCX2,MMCX2
00:00:00,0.132,0.141,0.139,0.141,0.143,0.138,0.142,0.142,0.146,0.146,0.143,0.139
00:30:00,0.17,0.173,0.172,0.171,0.176,0.169,0.177,0.172,0.176,0.176,0.175,0.168
01:00:00,0.227,0.241,0.235,0.234,0.24,0.234,0.241,0.229,0.238,0.233,0.23,0.22
01:30:00,0.311,0.332,0.312,0.318,0.325,0.321,0.32,0.308,0.315,0.295,0.278,0.266
02:00:00,0.406,0.429,0.418,0.395,0.403,0.398,0.385,0.351,0.37,0.313,0.279,0.268
02:30:00,0.424,0.446,0.427,0.415,0.406,0.41,0.4,0.366,0.39,0.324,0.282,0.263
03:00:00,0.436,0.449,0.438,0.406,0.402,0.397,0.388,0.356,0.375,0.301,0.258,0.243
03:30:00,0.434,0.441,0.437,0.392,0.397,0.397,0.371,0.337,0.362,0.285,0.243,0.228
04:00:00,0.441,0.437,0.419,0.384,0.383,0.372,0.352,0.321,0.336,0.264,0.228,0.212
04:30:00,0.468,0.433,0.418,0.372,0.373,0.363,0.334,0.302,0.319,0.25,0.215,0.203
05:00:00,0.468,0.438,0.415,0.363,0.368,0.373,0.325,0.288,0.313,0.24,0.203,0.191
05:30:00,0.481,0.47,0.422,0.367,0.386,0.383,0.337,0.303,0.317,0.237,0.205,0.212
06:00:00,0.478,0.479,0.423,0.374,0.398,0.395,0.347,0.313,0.328,0.235,0.207,0.213
06:30:00,0.491,0.486,0.432,0.389,0.405,0.39,0.36,0.306,0.35,0.238,0.215,0.222
07:00:00,0.487,0.495,0.441,0.379,0.395,0.4,0.356,0.315,0.352,0.268,0.22,0.233
07:30:00,0.476,0.495,0.442,0.386,0.406,0.391,0.358,0.329,0.34,0.269,0.235,0.23
08:00:00,0.491,0.501,0.434,0.391,0.402,0.387,0.356,0.328,0.343,0.266,0.238,0.227
08:30:00,0.489,0.49,0.451,0.375,0.392,0.382,0.345,0.327,0.336,0.267,0.243,0.232
09:00:00,0.478,0.487,0.445,0.38,0.384,0.371,0.346,0.316,0.334,0.263,0.236,0.23
09:30:00,0.483,0.499,0.459,0.365,0.377,0.364,0.332,0.311,0.32,0.261,0.237,0.227
10:00:00,0.476,0.478,0.453,0.37,0.374,0.357,0.335,0.311,0.322,0.26,0.236,0.223
10:30:00,0.469,0.495,0.434,0.365,0.371,0.354,0.325,0.311,0.314,0.258,0.236,0.218
11:00:00,0.468,0.474,0.45,0.361,0.362,0.343,0.318,0.308,0.316,0.255,0.235,0.215
11:30:00,0.457,0.477,0.45,0.349,0.35,0.337,0.313,0.303,0.31,0.251,0.232,0.215
12:00:00,0.444,0.478,0.445,0.334,0.345,0.332,0.307,0.292,0.305,0.243,0.222,0.211
12:30:00,0.432,0.456,0.442,0.319,0.337,0.324,0.298,0.291,0.295,0.24,0.215,0.202
13:00:00,0.415,0.44,0.429,0.31,0.327,0.318,0.294,0.278,0.291,0.235,0.203,0.193
13:30:00,0.402,0.402,0.417,0.3,0.312,0.307,0.285,0.275,0.288,0.231,0.201,0.189
14:00:00,0.387,0.409,0.399,0.288,0.295,0.301,0.273,0.263,0.276,0.22,0.195,0.18
14:30:00,0.367,0.382,0.378,0.277,0.285,0.288,0.266,0.256,0.267,0.216,0.185,0.175
15:00:00,0.353,0.361,0.354,0.263,0.274,0.279,0.257,0.249,0.264,0.21,0.18,0.17
15:30:00,0.336,0.343,0.339,0.246,0.265,0.27,0.253,0.243,0.254,0.205,0.181,0.164
16:00:00,0.318,0.319,0.317,0.25,0.255,0.259,0.245,0.239,0.247,0.201,0.172,0.16
16:30:00,0.305,0.302,0.3,0.244,0.247,0.253,0.242,0.233,0.242,0.199,0.172,0.157
17:00:00,0.29,0.287,0.281,0.239,0.245,0.249,0.241,0.231,0.241,0.193,0.168,0.154
17:30:00,0.28,0.274,0.268,0.228,0.236,0.241,0.237,0.225,0.239,0.19,0.166,0.152
18:00:00,0.268,0.258,0.259,0.228,0.233,0.239,0.236,0.224,0.24,0.187,0.163,0.15
18:30:00,0.26,0.248,0.246,0.221,0.228,0.236,0.236,0.223,0.238,0.186,0.161,0.148
19:00:00,0.25,0.248,0.239,0.22,0.229,0.232,0.237,0.223,0.237,0.187,0.16,0.146
19:30:00,0.256,0.244,0.233,0.223,0.227,0.232,0.237,0.221,0.234,0.186,0.162,0.146
20:00:00,0.249,0.236,0.228,0.223,0.231,0.234,0.234,0.224,0.234,0.191,0.162,0.145
20:30:00,0.244,0.235,0.228,0.22,0.23,0.236,0.236,0.223,0.235,0.191,0.162,0.146
