Time,Media,Media,Media,CSP,CSP,CSP,CSPX2,CSPX2,CSPX2,CSPX4,CSPX4,CSPX4
00:00:00,0.124,0.118,0.122,0.126,0.119,0.121,0.121,0.123,0.125,0.122,0.12,0.12
00:30:00,0.146,0.147,0.147,0.149,0.143,0.146,0.147,0.147,0.152,0.148,0.145,0.143
01:00:00,0.209,0.197,0.203,0.197,0.181,0.188,0.187,0.193,0.191,0.184,0.184,0.179
01:30:00,0.293,0.281,0.291,0.268,0.255,0.262,0.256,0.257,0.263,0.25,0.241,0.243
02:00:00,0.39,0.367,0.392,0.345,0.34,0.345,0.342,0.338,0.354,0.329,0.318,0.322
02:30:00,0.442,0.434,0.457,0.432,0.412,0.414,0.414,0.417,0.434,0.402,0.393,0.399
03:00:00,0.448,0.446,0.47,0.433,0.423,0.434,0.434,0.438,0.448,0.432,0.419,0.422
03:30:00,0.448,0.443,0.477,0.422,0.429,0.446,0.451,0.455,0.461,0.443,0.431,0.431
04:00:00,0.447,0.453,0.493,0.433,0.434,0.455,0.46,0.467,0.464,0.449,0.441,0.442
04:30:00,0.451,0.47,0.492,0.427,0.449,0.453,0.463,0.469,0.466,0.452,0.444,0.442
05:00:00,0.454,0.501,0.496,0.433,0.468,0.458,0.467,0.472,0.474,0.46,0.449,0.446
05:30:00,0.453,0.517,0.499,0.44,0.486,0.462,0.469,0.478,0.474,0.464,0.448,0.451
06:00:00,0.473,0.519,0.501,0.447,0.48,0.464,0.47,0.477,0.474,0.463,0.45,0.451
06:30:00,0.481,0.515,0.502,0.466,0.47,0.464,0.471,0.473,0.475,0.462,0.45,0.449
07:00:00,0.481,0.516,0.503,0.472,0.467,0.463,0.474,0.48,0.477,0.465,0.452,0.454
07:30:00,0.492,0.518,0.502,0.472,0.459,0.462,0.472,0.478,0.478,0.461,0.451,0.452
08:00:00,0.495,0.521,0.503,0.485,0.454,0.461,0.471,0.477,0.474,0.458,0.447,0.446
08:30:00,0.483,0.517,0.501,0.469,0.457,0.461,0.472,0.474,0.472,0.455,0.447,0.446
09:00:00,0.491,0.519,0.497,0.478,0.453,0.458,0.468,0.47,0.466,0.449,0.442,0.441
09:30:00,0.494,0.518,0.493,0.481,0.454,0.453,0.463,0.467,0.462,0.448,0.437,0.435
10:00:00,0.488,0.519,0.487,0.468,0.453,0.45,0.457,0.461,0.457,0.442,0.434,0.433
10:30:00,0.484,0.515,0.484,0.468,0.45,0.443,0.452,0.455,0.45,0.437,0.428,0.427
11:00:00,0.495,0.512,0.479,0.479,0.447,0.438,0.444,0.449,0.442,0.43,0.421,0.418
11:30:00,0.487,0.512,0.474,0.476,0.443,0.434,0.438,0.441,0.436,0.424,0.417,0.415
12:00:00,0.485,0.507,0.471,0.453,0.436,0.428,0.43,0.435,0.431,0.419,0.41,0.41
12:30:00,0.496,0.5,0.463,0.465,0.43,0.421,0.428,0.43,0.428,0.415,0.407,0.406
13:00:00,0.503,0.491,0.456,0.466,0.423,0.419,0.422,0.422,0.42,0.41,0.403,0.401
13:30:00,0.491,0.485,0.449,0.463,0.414,0.413,0.417,0.419,0.419,0.406,0.399,0.399
14:00:00,0.485,0.474,0.442,0.464,0.406,0.407,0.409,0.413,0.412,0.401,0.395,0.394
14:30:00,0.483,0.464,0.434,0.459,0.398,0.402,0.406,0.409,0.407,0.396,0.388,0.387
15:00:00,0.499,0.447,0.426,0.445,0.388,0.394,0.399,0.404,0.399,0.392,0.385,0.384
15:30:00,0.476,0.432,0.414,0.439,0.376,0.386,0.392,0.396,0.391,0.382,0.377,0.376
16:00:00,0.457,0.415,0.403,0.415,0.365,0.381,0.383,0.386,0.385,0.375,0.37,0.371
16:30:00,0.44,0.398,0.391,0.412,0.353,0.372,0.376,0.38,0.375,0.368,0.362,0.363
17:00:00,0.408,0.382,0.378,0.39,0.34,0.363,0.367,0.372,0.368,0.36,0.354,0.357
17:30:00,0.382,0.361,0.365,0.367,0.327,0.351,0.356,0.357,0.356,0.348,0.343,0.342
18:00:00,0.357,0.345,0.352,0.348,0.316,0.343,0.345,0.35,0.345,0.338,0.334,0.333
18:30:00,0.327,0.328,0.335,0.327,0.303,0.33,0.33,0.333,0.331,0.325,0.322,0.321
19:00:00,0.32,0.31,0.324,0.325,0.292,0.32,0.32,0.328,0.32,0.314,0.31,0.308
19:30:00,0.301,0.297,0.311,0.314,0.284,0.308,0.308,0.311,0.308,0.304,0.297,0.299
20:00:00,0.291,0.282,0.297,0.302,0.274,0.296,0.297,0.298,0.297,0.291,0.285,0.285
20:30:00,0.284,0.272,0.286,0.296,0.266,0.285,0.283,0.29,0.286,0.279,0.275,0.275
