Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,BC/rpoA
7Domi_3,RMV7_rpoA,UNKNOWN,SYBR,None,11.584,11.707,0.109,"3,944,655.00","3,639,490.00",
7Domi_3,RMV7_rpoA,UNKNOWN,SYBR,None,11.75,11.707,0.109,"3,530,252.50","3,639,490.00",
7Domi_3,RMV7_rpoA,UNKNOWN,SYBR,None,11.787,11.707,0.109,"3,443,563.00","3,639,490.00",
7Domi_3,RMV7_PRCI_BC,UNKNOWN,SYBR,None,12.362,12.282,0.069,"1,746,909.25","1,841,810.63",0.479987375
7Domi_3,RMV7_PRCI_BC,UNKNOWN,SYBR,None,12.245,12.282,0.069,"1,885,559.13","1,841,810.63",0.518083337
7Domi_3,RMV7_PRCI_BC,UNKNOWN,SYBR,None,12.239,12.282,0.069,"1,892,963.50","1,841,810.63",0.520117791
7Rare_3,RMV7_rpoA,UNKNOWN,SYBR,None,10.444,10.502,0.079,"8,429,706.00","8,120,368.00",
7Rare_3,RMV7_rpoA,UNKNOWN,SYBR,None,10.469,10.502,0.079,"8,293,863.00","8,120,368.00",
7Rare_3,RMV7_rpoA,UNKNOWN,SYBR,None,10.592,10.502,0.079,"7,637,536.00","8,120,368.00",
7Rare_3,RMV7_PRCI_BC,UNKNOWN,SYBR,None,11.441,11.445,0.052,"3,200,229.00","3,192,454.00",0.394099011
7Rare_3,RMV7_PRCI_BC,UNKNOWN,SYBR,None,11.395,11.445,0.052,"3,297,982.75","3,192,454.00",0.406137105
7Rare_3,RMV7_PRCI_BC,UNKNOWN,SYBR,None,11.5,11.445,0.052,"3,079,150.75","3,192,454.00",0.379188572
7Domi_1,RMV7_rpoA,UNKNOWN,SYBR,None,10.405,10.613,0.185,"8,652,571.00","7,573,645.50",
7Domi_1,RMV7_rpoA,UNKNOWN,SYBR,None,10.761,10.613,0.185,"6,825,456.00","7,573,645.50",
7Domi_1,RMV7_rpoA,UNKNOWN,SYBR,None,10.672,10.613,0.185,"7,242,907.50","7,573,645.50",
7Domi_1,RMV7_PRCI_BC,UNKNOWN,SYBR,None,12.201,12.22,0.082,"1,941,682.25","1,918,601.00",0.256373532
7Domi_1,RMV7_PRCI_BC,UNKNOWN,SYBR,None,12.31,12.22,0.082,"1,806,988.00","1,918,601.00",0.238588933
7Domi_1,RMV7_PRCI_BC,UNKNOWN,SYBR,None,12.15,12.22,0.082,"2,007,132.38","1,918,601.00",0.265015358
7Rare_1,RMV7_rpoA,UNKNOWN,SYBR,None,11.3,11.022,0.242,"4,766,328.50","5,785,681.50",
7Rare_1,RMV7_rpoA,UNKNOWN,SYBR,None,10.856,11.022,0.242,"6,404,954.50","5,785,681.50",
7Rare_1,RMV7_rpoA,UNKNOWN,SYBR,None,10.909,11.022,0.242,"6,185,761.00","5,785,681.50",
7Rare_1,RMV7_PRCI_BC,UNKNOWN,SYBR,None,11.982,11.884,0.114,"2,242,517.50","2,396,118.25",0.387597814
7Rare_1,RMV7_PRCI_BC,UNKNOWN,SYBR,None,11.759,11.884,0.114,"2,595,993.00","2,396,118.25",0.448692691
7Rare_1,RMV7_PRCI_BC,UNKNOWN,SYBR,None,11.911,11.884,0.114,"2,349,844.50","2,396,118.25",0.406148264
7Domi_2,RMV7_rpoA,UNKNOWN,SYBR,None,11.471,11.508,0.116,"4,252,168.00","4,155,612.00",
7Domi_2,RMV7_rpoA,UNKNOWN,SYBR,None,11.415,11.508,0.116,"4,412,571.50","4,155,612.00",
7Domi_2,RMV7_rpoA,UNKNOWN,SYBR,None,11.639,11.508,0.116,"3,802,096.75","4,155,612.00",
7Domi_2,RMV7_PRCI_BC,UNKNOWN,SYBR,None,13.51,13.119,0.347,"821,100.44","1,079,574.38",0.197588331
7Domi_2,RMV7_PRCI_BC,UNKNOWN,SYBR,None,12.847,13.119,0.347,"1,269,136.38","1,079,574.38",0.305403001
7Domi_2,RMV7_PRCI_BC,UNKNOWN,SYBR,None,12.999,13.119,0.347,"1,148,486.00","1,079,574.38",0.276369882
7Rare_2,RMV7_rpoA,UNKNOWN,SYBR,None,10.627,10.72,0.126,"7,463,794.50","7,029,408.50",
7Rare_2,RMV7_rpoA,UNKNOWN,SYBR,None,10.671,10.72,0.126,"7,248,512.50","7,029,408.50",
7Rare_2,RMV7_rpoA,UNKNOWN,SYBR,None,10.863,10.72,0.126,"6,375,920.00","7,029,408.50",
7Rare_2,RMV7_PRCI_BC,UNKNOWN,SYBR,None,11.595,11.692,0.115,"2,891,897.50","2,717,785.75",0.411399835
7Rare_2,RMV7_PRCI_BC,UNKNOWN,SYBR,None,11.663,11.692,0.115,"2,765,322.50","2,717,785.75",0.393393342
7Rare_2,RMV7_PRCI_BC,UNKNOWN,SYBR,None,11.819,11.692,0.115,"2,496,137.50","2,717,785.75",0.355099223
