Sample,gene_name,Locus,Scaled reads per base,tpm,Genotype,Timepoint
ERS3382227,NA,IONPJBJN_00001,0,0,tvr_domi,Pre-CSP
ERS3382228,NA,IONPJBJN_00001,0,0,tvr_domi,10 min post-CSP
ERS3382229,NA,IONPJBJN_00001,0,0,tvr_domi,20 min post-CSP
ERS3382230,NA,IONPJBJN_00001,0,0,tvr_rare,Pre-CSP
ERS3382231,NA,IONPJBJN_00001,1.6999502072909e-05,3.46500618760624e-07,tvr_rare,10 min post-CSP
ERS3382232,NA,IONPJBJN_00001,1.52603149353661e-05,3.11558843880301e-07,tvr_rare,20 min post-CSP
ERS3382233,NA,IONPJBJN_00001,0.000804637311487803,1.64005458412019e-05,tvr_domi,Pre-CSP
ERS3382234,NA,IONPJBJN_00001,1.13930079628353e-05,2.36114299296208e-07,tvr_domi,10 min post-CSP
ERS3382235,NA,IONPJBJN_00001,1.34114877675817e-05,2.69142559857171e-07,tvr_domi,20 min post-CSP
ERS3382236,NA,IONPJBJN_00001,0,0,tvr_rare,Pre-CSP
ERS3382237,NA,IONPJBJN_00001,1.30661527507218e-05,2.68030606021557e-07,tvr_rare,10 min post-CSP
ERS3382238,NA,IONPJBJN_00001,1.3277343690002e-05,2.72777623648281e-07,tvr_rare,20 min post-CSP
ERS3382239,NA,IONPJBJN_00001,0.000677545937918568,1.37776213645847e-05,tvr_domi,Pre-CSP
ERS3382240,NA,IONPJBJN_00001,0,0,tvr_domi,10 min post-CSP
ERS3382241,NA,IONPJBJN_00001,0.000335451216007825,6.9020511919242e-06,tvr_domi,20 min post-CSP
ERS3382242,NA,IONPJBJN_00001,2.08142188986919e-05,4.22730917972817e-07,tvr_rare,Pre-CSP
ERS3382243,NA,IONPJBJN_00001,8.04528802295497e-06,1.65497686052145e-07,tvr_rare,10 min post-CSP
ERS3382244,NA,IONPJBJN_00001,8.09102196336584e-06,1.69571453671615e-07,tvr_rare,20 min post-CSP
ERS3382227,pgk_1,IONPJBJN_00002,0,0,tvr_domi,Pre-CSP
ERS3382228,pgk_1,IONPJBJN_00002,0,0,tvr_domi,10 min post-CSP
ERS3382229,pgk_1,IONPJBJN_00002,0,0,tvr_domi,20 min post-CSP
ERS3382230,pgk_1,IONPJBJN_00002,0,0,tvr_rare,Pre-CSP
ERS3382231,pgk_1,IONPJBJN_00002,0,0,tvr_rare,10 min post-CSP
ERS3382232,pgk_1,IONPJBJN_00002,0,0,tvr_rare,20 min post-CSP
ERS3382233,pgk_1,IONPJBJN_00002,5.45758968607869,0.872766064199632,tvr_domi,Pre-CSP
ERS3382234,pgk_1,IONPJBJN_00002,1.73894661993473,0.271368478034282,tvr_domi,10 min post-CSP
ERS3382235,pgk_1,IONPJBJN_00002,0,0,tvr_domi,20 min post-CSP
ERS3382236,pgk_1,IONPJBJN_00002,2.08565548207175,0.350592495891123,tvr_rare,Pre-CSP
ERS3382237,pgk_1,IONPJBJN_00002,1.22365354313679,0.19233571660187,tvr_rare,10 min post-CSP
ERS3382238,pgk_1,IONPJBJN_00002,1.33456057579694,0.212372644461649,tvr_rare,20 min post-CSP
ERS3382239,pgk_1,IONPJBJN_00002,0,0,tvr_domi,Pre-CSP
ERS3382240,pgk_1,IONPJBJN_00002,0,0,tvr_domi,10 min post-CSP
