Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,AD/AB
8Domi_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.278,15.242,0.078,"1,012,753.63","1,038,553.31",
8Domi_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.152,15.242,0.078,"1,102,887.38","1,038,553.31",
8Domi_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.296,15.242,0.078,"1,000,019.25","1,038,553.31",
8Domi_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.98,9.741,0.207,"36,066,124.00","42,821,148.00",0.023650782
8Domi_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.617,9.741,0.207,"46,368,768.00","42,821,148.00",0.02575567
8Domi_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.627,9.741,0.207,"46,028,548.00","42,821,148.00",0.023353397
8Rare_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.874,15.827,0.05,"675,605.06","697,751.81",
8Rare_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.833,15.827,0.05,"694,957.94","697,751.81",
8Rare_3,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.775,15.827,0.05,"722,692.56","697,751.81",
8Rare_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.048,9.937,0.21,"34,418,464.00","37,435,504.00",0.018047174
8Rare_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.694,9.937,0.21,"43,948,976.00","37,435,504.00",0.01856414
8Rare_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.068,9.937,0.21,"33,939,068.00","37,435,504.00",0.019305004
8Domi_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.477,15.16,0.275,"884,544.31","1,109,568.38",
8Domi_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.011,15.16,0.275,"1,214,127.63","1,109,568.38",
8Domi_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,14.991,15.16,0.275,"1,230,033.50","1,109,568.38",
8Domi_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.981,11.013,0.038,"18,062,846.00","17,677,242.00",0.050038593
8Domi_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,11.002,11.013,0.038,"17,808,466.00","17,677,242.00",0.068683091
8Domi_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,11.056,11.013,0.038,"17,160,418.00","17,677,242.00",0.069582885
8Rare_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.786,16.779,0.061,"363,960.03","365,905.91",
8Rare_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.714,16.779,0.061,"382,038.06","365,905.91",
8Rare_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.836,16.779,0.061,"351,719.66","365,905.91",
8Rare_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.448,10.383,0.058,"26,102,552.00","27,328,930.00",0.013317756
8Rare_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.36,10.383,0.058,"27,740,592.00","27,328,930.00",0.013979254
8Rare_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.339,10.383,0.058,"28,143,648.00","27,328,930.00",0.012869866
8Domi_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.823,15.945,0.118,"699,589.69","645,525.94",
8Domi_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.058,15.945,0.118,"596,421.81","645,525.94",
8Domi_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,15.953,15.945,0.118,"640,566.19","645,525.94",
8Domi_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.733,10.712,0.018,"21,443,320.00","21,753,872.00",0.032159318
8Domi_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.699,10.712,0.018,"21,949,416.00","21,753,872.00",0.027416812
8Domi_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.705,10.712,0.018,"21,868,882.00","21,753,872.00",0.029446077
8Rare_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,17.052,16.899,0.15,"303,681.41","338,242.72",
8Rare_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.753,16.899,0.15,"372,107.88","338,242.72",
8Rare_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,16.891,16.899,0.15,"338,938.81","338,242.72",
8Rare_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.569,10.411,0.139,"24,007,012.00","26,872,992.00",0.011300618
8Rare_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.315,10.411,0.139,"28,622,220.00","26,872,992.00",0.013846909
8Rare_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.347,10.411,0.139,"27,989,744.00","26,872,992.00",0.012612619
