Sample.Name,replicate,Target.Name,fold_change
RMV8_col4,1st,sugar_dnaC,1.047356947
RMV8_col4,1st,sugar_dnaC,0.995679445
RMV8_col4,1st,sugar_dnaC,0.958928335
RMV8_col4,1st,sugar_int,1.022632537
RMV8_col4,1st,sugar_int,0.96941808
RMV8_col4,1st,sugar_int,1.008721352
RMV8_col4_MIC,1st,sugar_dnaC,7.477367601
RMV8_col4_MIC,1st,sugar_dnaC,8.356387258
RMV8_col4_MIC,1st,sugar_dnaC,6.904196227
RMV8_col4_MIC,1st,sugar_int,4.463185075
RMV8_col4_MIC,1st,sugar_int,3.643088652
RMV8_col4_MIC,1st,sugar_int,4.028899226
RMV8_col4_procat,1st,sugar_dnaC,0.155698417
RMV8_col4_procat,1st,sugar_dnaC,0.156303745
RMV8_col4_procat,1st,sugar_dnaC,0.159166257
RMV8_col4_procat,1st,sugar_int,1.068016017
RMV8_col4_procat,1st,sugar_int,1.03650568
RMV8_col4_procat,1st,sugar_int,1.073170905
RMV8_col4_procat_MIC,1st,sugar_dnaC,0.94115991
RMV8_col4_procat_MIC,1st,sugar_dnaC,0.986975843
RMV8_col4_procat_MIC,1st,sugar_dnaC,0.977312731
RMV8_col4_procat_MIC,1st,sugar_int,2.736424122
RMV8_col4_procat_MIC,1st,sugar_int,2.559401909
RMV8_col4_procat_MIC,1st,sugar_int,2.620280538
RMV8_col4,2nd,sugar_dnaC,5.810122709
RMV8_col4,2nd,sugar_dnaC,5.932945831
RMV8_col4,2nd,sugar_dnaC,5.683722325
RMV8_col4,2nd,sugar_int,3.599850975
RMV8_col4,2nd,sugar_int,3.138125168
RMV8_col4,2nd,sugar_int,3.22764462
RMV8_col4_MIC,2nd,sugar_dnaC,13.16435512
RMV8_col4_MIC,2nd,sugar_dnaC,12.9431985
RMV8_col4_MIC,2nd,sugar_dnaC,13.22238657
RMV8_col4_MIC,2nd,sugar_int,8.016794144
RMV8_col4_MIC,2nd,sugar_int,7.15530131
RMV8_col4_MIC,2nd,sugar_int,6.922341615
RMV8_col4_procat,2nd,sugar_dnaC,1.64924461
RMV8_col4_procat,2nd,sugar_dnaC,1.741744627
RMV8_col4_procat,2nd,sugar_dnaC,1.788824638
RMV8_col4_procat,2nd,sugar_int,1.745497987
RMV8_col4_procat,2nd,sugar_int,1.608892368
RMV8_col4_procat,2nd,sugar_int,1.703157198
RMV8_col4_procat_MIC,2nd,sugar_dnaC,4.123565487
RMV8_col4_procat_MIC,2nd,sugar_dnaC,4.126395867
RMV8_col4_procat_MIC,2nd,sugar_dnaC,4.163813959
RMV8_col4_procat_MIC,2nd,sugar_int,3.550374803
RMV8_col4_procat_MIC,2nd,sugar_int,3.47739484
RMV8_col4_procat_MIC,2nd,sugar_int,3.682556388
RMV8_col4,3rd,sugar_dnaC,15.40773552796840
RMV8_col4,3rd,sugar_dnaC,17.39040685749330
RMV8_col4,3rd,sugar_dnaC,12.87029946452600
RMV8_col4,3rd,sugar_int,8.06458618710246
RMV8_col4,3rd,sugar_int,6.78212717031284
RMV8_col4,3rd,sugar_int,7.34459171780305
RMV8_col4_MIC,3rd,sugar_dnaC,12.04083203377930
RMV8_col4_MIC,3rd,sugar_dnaC,13.06920721358510
RMV8_col4_MIC,3rd,sugar_dnaC,12.76470138644460
RMV8_col4_MIC,3rd,sugar_int,6.72934537883050
RMV8_col4_MIC,3rd,sugar_int,7.35991466116577
RMV8_col4_MIC,3rd,sugar_int,6.26218594886992
RMV8_col4_procat,3rd,sugar_dnaC,1.80354273368029
RMV8_col4_procat,3rd,sugar_dnaC,1.81575874620797
RMV8_col4_procat,3rd,sugar_dnaC,1.76571805266726
RMV8_col4_procat,3rd,sugar_int,1.82866958932753
RMV8_col4_procat,3rd,sugar_int,1.94890501866562
RMV8_col4_procat,3rd,sugar_int,1.75821774137228
RMV8_col4_procat_MIC,3rd,sugar_dnaC,2.84884701688131
RMV8_col4_procat_MIC,3rd,sugar_dnaC,3.13582693455131
RMV8_col4_procat_MIC,3rd,sugar_dnaC,2.82813973010158
RMV8_col4_procat_MIC,3rd,sugar_int,2.92409763356081
RMV8_col4_procat_MIC,3rd,sugar_int,2.76684422499660
RMV8_col4_procat_MIC,3rd,sugar_int,2.48806816867274
