molecule,gene,start,end,strand,orientation
Genome1,SAMEA1463109_02088,1,96,forward,1
Genome1,SAMEA1463109_02089,1026,1598,reverse,0
Genome1,SAMEA1463109_02090,1617,1871,reverse,0
Genome1,SAMEA1463109_02091,2166,2621,reverse,0
Genome1,SAMEA1463109_02092,2622,3467,reverse,0
Genome1,SAMEA1463109_02093,3479,4339,reverse,0
Genome1,SAMEA1463109_02094,4326,4607,reverse,0
Genome1,SAMEA1463109_02095,4600,4941,reverse,0
Genome1,SAMEA1463109_02096,4949,5215,reverse,0
Genome1,SAMEA1463109_02097,5212,5427,reverse,0
Genome1,SAMEA1463109_02098,5424,5627,reverse,0
Genome1,SAMEA1463109_02099,5950,6210,reverse,0
Genome1,SAMEA1463109_02100,6222,6824,reverse,0
Genome1,SAMEA1463109_02101,7509,7700,reverse,0
Genome1,SAMEA1463109_02102,7880,8620,forward,1
Genome1,SAMEA1463109_02103,8636,9175,forward,1
Genome1,SAMEA1463109_02104,10407,11573,forward,1
