Position,GC,MluCI,NlaIII
200,30.75,4,0
600,33.25,4,0
1000,34.5,7,0
1400,35.0,3,0
1800,34.75,5,1
2200,36.0,6,1
2600,31.25,7,1
3000,39.5,3,0
3400,35.75,6,4
3800,37.0,6,0
4200,38.5,7,1
4600,38.0,5,0
5000,30.75,3,0
5400,32.75,3,3
5800,35.0,3,1
6200,41.75,3,1
6600,45.75,1,0
7000,41.5,1,1
7400,44.75,2,1
7800,41.5,2,1
8200,37.75,4,1
8600,43.0,3,0
9000,44.25,1,0
9400,44.0,2,1
9800,45.0,0,1
10200,32.0,4,1
10600,44.5,4,0
11000,47.75,1,6
11400,47.25,4,0
11800,38.5,0,0
12200,33.75,5,1
12600,42.0,1,0
13000,38.75,3,2
13400,45.25,2,1
13800,44.0,0,1
14200,42.75,3,1
14600,44.25,2,1
15000,45.0,0,1
15400,35.25,6,3
15800,34.75,3,0
16200,44.0,1,1
16600,38.75,4,0
17000,33.25,4,0
17400,40.5,1,2
17800,40.75,4,1
18200,39.75,0,2
18600,40.25,3,0
19000,44.75,2,1
19400,41.0,4,0
19800,36.0,2,1
20200,39.0,1,1
20600,39.0,2,0
21000,31.25,4,0
21400,39.5,1,2
21800,39.75,5,0
22200,37.25,1,1
22600,31.75,4,0
23000,35.5,3,2
23400,34.25,4,1
23800,34.5,2,1
24200,42.75,2,2
24600,38.0,3,3
25000,43.25,2,2
25400,42.25,0,1
25800,36.5,3,0
26200,41.25,3,1
26600,42.5,0,1
27000,44.25,2,0
27400,45.25,2,0
27800,42.5,2,1
28200,42.25,2,2
28600,42.0,3,3
29000,36.25,1,0
29400,33.5,3,0
29800,35.5,3,3
30200,43.5,4,0
30600,43.25,1,2
31000,44.25,3,3
31400,37.0,2,2
31800,32.5,3,2
32200,38.25,3,0
32600,40.5,0,1
33000,42.25,3,0
33400,39.25,4,0
33800,43.75,1,0
34200,32.25,3,0
34600,35.75,2,2
35000,43.5,3,1
35400,44.5,1,4
35800,44.25,0,1
36200,40.0,6,1
36600,38.5,2,2
37000,39.5,1,1
37400,43.5,1,2
37800,45.25,1,3
38200,39.5,2,0
38600,43.25,2,1
39000,40.75,5,3
39400,43.5,3,4
39800,44.75,1,2
40200,40.25,0,2
40600,45.5,2,5
41000,42.25,0,1
41400,43.25,2,0
41800,41.5,3,0
42200,46.5,2,0
42600,36.25,1,1
43000,42.5,1,0
43400,36.75,4,1
43800,32.0,4,2
44200,39.0,4,0
44600,33.0,3,1
45000,38.0,4,0
45400,41.25,2,1
45800,42.25,2,3
46200,40.0,5,1
46600,46.0,1,4
47000,43.25,3,4
47400,37.0,4,3
47800,35.75,6,3
48200,38.0,5,0
48600,40.0,1,1
49000,33.75,2,2
49400,46.25,2,1
49800,46.0,1,2
50200,42.5,4,1
50600,43.25,1,1
51000,45.75,2,3
51400,46.0,2,0
51800,42.75,3,0
52200,47.5,2,2
52600,41.5,1,2
53000,45.0,0,0
53400,43.5,3,1
53800,39.5,1,0
54200,40.75,2,3
54600,44.75,4,2
55000,42.75,3,1
55400,39.5,1,0
55800,46.25,3,1
56200,44.0,2,1
56600,45.5,6,3
57000,41.25,3,2
57400,45.5,2,3
57800,43.0,3,1
58200,38.5,1,1
58600,47.5,1,1
59000,43.75,0,2
59400,41.0,1,2
59800,45.75,4,2
60200,43.75,1,2
60600,36.5,2,1
61000,39.5,3,1
61400,36.5,4,0
61800,44.5,1,0
62200,45.5,3,1
62600,45.5,3,1
63000,37.0,3,0
63400,38.5,1,4
63800,44.0,2,0
64200,41.75,3,0
64600,41.0,5,1
65000,43.75,4,4
65400,43.0,1,3
65800,38.75,1,3
66200,42.25,4,1
66600,31.75,3,0
67000,42.25,3,1
67400,36.75,0,2
67800,43.0,4,0
68200,36.5,2,0
68600,35.0,2,1
69000,41.25,2,0
69400,37.75,2,2
69800,39.5,3,1
70200,38.5,4,2
70600,39.25,3,0
71000,45.0,5,3
71400,44.75,2,1
71800,41.0,2,1
72200,46.25,1,2
72600,37.5,4,1
73000,39.25,1,0
73400,38.25,1,2
73800,40.5,1,3
74200,38.0,1,0
74600,38.5,5,0
75000,42.25,2,3
75400,42.0,3,1
75800,41.5,2,1
76200,43.25,1,1
76600,36.75,5,3
77000,41.25,6,1
77400,41.0,1,2
77800,44.75,3,4
78200,44.0,0,3
78600,41.5,4,4
79000,46.5,1,2
79400,45.0,4,0
79800,44.25,1,1
80200,43.0,2,1
80600,41.75,3,0
81000,41.5,5,2
81400,32.25,2,1
81800,39.75,2,2
82200,43.0,2,1
82600,44.75,1,2
83000,44.0,2,4
83400,43.25,4,1
83800,43.5,0,1
84200,41.5,5,1
84600,43.75,4,2
85000,42.0,2,2
85400,39.0,4,2
85800,40.0,2,1
86200,34.0,2,1
86600,41.25,4,1
87000,43.25,4,2
87400,42.25,2,1
87800,43.5,2,2
88200,40.5,4,4
88600,41.25,2,1
89000,36.25,3,2
89400,37.75,6,0
89800,34.25,4,0
90200,33.5,6,1
90600,34.5,2,1
91000,33.0,3,1
91400,42.5,5,0
91800,41.75,5,2
92200,39.25,3,0
92600,42.0,4,0
93000,34.5,3,1
93400,41.25,0,2
93800,33.75,2,0
94200,40.25,3,3
94600,40.5,1,1
95000,42.5,4,0
95400,42.25,3,1
95800,39.75,6,0
96200,36.25,4,1
96600,42.5,3,3
97000,41.0,2,2
97400,37.75,4,1
97800,38.75,2,0
98200,37.5,5,2
98600,33.5,2,1
99000,35.25,3,1
99400,38.25,4,3
99800,38.75,2,3
100200,35.0,3,1
100600,39.75,1,2
101000,39.0,2,0
101400,35.0,6,0
101800,33.0,2,0
102200,36.0,2,1
102600,46.75,0,0
103000,41.5,2,1
103400,35.75,2,0
103800,38.25,3,3
104200,37.5,4,3
104600,36.75,7,0
105000,36.25,0,1
105400,43.25,4,2
105800,40.25,3,0
106200,40.25,2,2
106600,33.75,6,1
107000,40.25,4,1
107400,37.0,3,0
107800,39.75,3,3
108200,43.75,1,1
108600,44.25,4,1
109000,39.5,3,0
109400,43.25,1,1
109800,39.5,1,1
110200,32.25,3,0
110600,37.0,3,2
111000,42.25,1,2
111400,38.25,1,4
111800,34.5,3,3
112200,32.0,6,1
112600,33.5,7,2
113000,37.25,5,0
113400,27.0,11,0
113800,33.0,3,3
114200,36.25,5,2
114600,36.75,3,4
115000,40.5,0,2
115400,36.5,1,1
115800,42.75,1,1
116200,43.0,4,0
116600,40.75,5,1
117000,24.0,9,1
117400,41.25,2,1
117800,36.5,4,0
118200,34.5,4,1
118600,43.75,0,0
119000,39.0,2,0
119400,38.75,1,1
119800,42.0,1,1
120200,40.75,1,0
120600,35.75,2,2
121000,36.0,4,1
121400,35.0,2,1
121800,48.0,0,0
122200,45.0,1,2
122600,38.75,0,0
